quizzes,solutions,clue_numbers
196543280345287691782690543807159324423768109951324768539472806618935472274816935,196543287345287691782691543867159324423768159951324768539472816618935472274816935,76
652137498048256300731849562174598623895360714263471985327914856419685237586723149,652137498948256371731849562174598623895362714263471985327914856419685237586723149,77
193260478652748139487319625219576304348921750765834201876493512934152867521687943,193265478652748139487319625219576384348921756765834291876493512934152867521687943,77
016378024254961837087245196049836752863527419572194680035412968401689375698753240,916378524254961837387245196149836752863527419572194683735412968421689375698753241,73
034681279681792453792534168315820794806947531947305682278459316400163827160208945,534681279681792453792534168315826794826947531947315682278459316459163827163278945,73
671539482284176539935482176467391820193825704520764391846917253352648017719250648,671539482284176539935482176467391825193825764528764391846917253352648917719253648,76
295160783461387205783592461937256814652418937814739652126843579340975126579601348,295164783461387295783592461937256814652418937814739652126843579348975126579621348,77
639478152487152603125693478012536984563984721948721036256349817871260349004017265,639478152487152693125693478712536984563984721948721536256349817871265349394817265,74
209680147147259683683147059924365718018920305365718924876490032532876491491532876,259683147147259683683147259924365718718924365365718924876491532532876491491532876,73
420083659059472138138695427712836945940721063863054712574218396281369574396547281,427183659659472138138695427712836945945721863863954712574218396281369574396547281,75
914532807253860149706149532167490328549308671832671495628714953395286714471953206,914532867253867149786149532167495328549328671832671495628714953395286714471953286,75
831426597795318246602907138179832460283640971564791382956173824428509713017284659,831426597795318246642957138179832465283645971564791382956173824428569713317284659,75
763198254542673891918400376609815742185247963427360518391584627276901480850726139,763198254542673891918452376639815742185247963427369518391584627276931485854726139,74
925346178871952463364817529596473201437128695182569734219635807748291356653784912,925346178871952463364817529596473281437128695182569734219635847748291356653784912,79
200981547475632819098754326849205631016498752527103984681549273032816495954327160,263981547475632819198754326849275631316498752527163984681549273732816495954327168,73
462537819198642705357918246730186524245379680816425973684253197523791468971860352,462537819198642735357918246739186524245379681816425973684253197523791468971864352,77
698235147714806325532407986026540871345781269180609450073168592259374618861952734,698235147714896325532417986926543871345781269187629453473168592259374618861952734,73
074152896869473215051968347937524168006739452425681973693247581742815639518390724,374152896869473215251968347937524168186739452425681973693247581742815639518396724,76
357896421698214375412753689745930016839162754261547893524370168186425937973680542,357896421698214375412753689745938216839162754261547893524379168186425937973681542,77
978430562314625789256897143569378421142900837783214695831542976697183204405769318,978431562314625789256897143569378421142956837783214695831542976697183254425769318,76
154609837387415926296738514970304651061297483843156792418562379625073148039041265,154629837387415926296738514972384651561297483843156792418562379625973148739841265,74
426387519915246738837195624054638971179524863368719452780952346643871295592463187,426387519915246738837195624254638971179524863368719452781952346643871295592463187,79
279415836415368927068279541841936752527841693936527184793152468680793215152684379,279415836415368927368279541841936752527841693936527184793152468684793215152684379,79
940821637820637905637945821184702593593184762762593184419278356356419278278350419,945821637821637945637945821184762593593184762762593184419278356356419278278356419,76
